o:id,o:resource_class,schema:sameAs,jdc:valeurUtilite,jdc:hasRencontre,dcterms:title,foaf:firstName,foaf:lastName,foaf:givenName,foaf:homepage,schema:relatedLink
61132,foaf:Person,,60,30,Pierre Lévy,Pierre,Lévy,Pierre Lévy,,
61677,foaf:Person,,,,Gillbert Lewis,Gillbert,Lewis,Gillbert Lewis,,
61676,foaf:Person,,,,I.M. Lewis,I.M.,Lewis,I.M. Lewis,,
61415,foaf:Person,,,,Penelope A. Lewis,Penelope A.,Lewis,Penelope A. Lewis,,
62580,foaf:Person,,,,Meng Li,Meng,Li,Meng Li,,
61202,foaf:Person,,,,Alain de Libera,Alain de,Libera,Alain de Libera,,
61579,foaf:Person,,,,Vladimir Lifschitz,Vladimir,Lifschitz,Vladimir Lifschitz,,
61974,foaf:Person,,,,Reid Lifset,Reid,Lifset,Reid Lifset,,
61104,foaf:Person,,,,F. Liljeros,F.,Liljeros,F. Liljeros,,
61635,foaf:Person,,,,Manuel Lima,Manuel,Lima,Manuel Lima,,
61408,foaf:Person,,,,Freddy Limpens,Freddy,Limpens,Freddy Limpens,,
61386,foaf:Person,,,,Monique Linard,Monique,Linard,Monique Linard,,
62581,foaf:Person,,,,Cristina Lindenmeyer,Cristina,Lindenmeyer,Cristina Lindenmeyer,,
62524,foaf:Person,,,,Matthew Lipman,Matthew,Lipman,Matthew Lipman,,
61454,foaf:Person,,,,Gilles Lipovetsky,Gilles,Lipovetsky,Gilles Lipovetsky,,
61147,foaf:Person,,,10,Carole Lipsyc,Carole,Lipsyc,Carole Lipsyc,,
61833,foaf:Person,,20,,Vincent Liquète,Vincent,Liquète,Vincent Liquète,,
61477,foaf:Person,,,,Hui Liu,Hui,Liu,Hui Liu,,
62475,foaf:Person,,,,J. Liu,J.,Liu,J. Liu,,
62618,foaf:Person,,,,Pei Liu,Pei,Liu,Pei Liu,,
62705,foaf:Person,,,,Jean-Pierre Llored,Jean-Pierre,Llored,Jean-Pierre Llored,,
61551,foaf:Person,,,,Jonas Loh,Jonas,Loh,Jonas Loh,,
61566,foaf:Person,,,,Cédric Loi,Cédric,Loi,Cédric Loi,,
61966,foaf:Person,,,,Grégoire Loïs,Grégoire,Loïs,Grégoire Loïs,,
61359,foaf:Person,,,,Stéphane Loiseau,Stéphane,Loiseau,Stéphane Loiseau,,
61445,foaf:Person,,,,Giuseppe Longo,Giuseppe,Longo,Giuseppe Longo,,
62463,foaf:Person,,,,Javier Lopez,Javier,Lopez,Javier Lopez,,
61989,foaf:Person,,,,Elizabeth Lorang,Elizabeth,Lorang,Elizabeth Lorang,,
61039,foaf:Person,,30,,Frédéric Lordon,Frédéric,Lordon,Frédéric Lordon,,
62360,foaf:Person,,,,Tiziano Lorenzetti,Tiziano,Lorenzetti,Tiziano Lorenzetti,,
61437,foaf:Person,,,,Vittorio Loreto,Vittorio,Loreto,Vittorio Loreto,,
62229,foaf:Person,,,,Thomas Louail,Thomas,Louail,Thomas Louail,,
61960,foaf:Person,,30,40,Muriel Louâpre,Muriel,Louâpre,Muriel Louâpre,,
61661,foaf:Person,,,,S. Loudcher,S.,Loudcher,S. Loudcher,,
61684,foaf:Person,,,,René Lourau,René,Lourau,René Lourau,,
61341,foaf:Person,,,,Nathalie Casemajor Loustau,Nathalie Casemajor,Loustau,Nathalie Casemajor Loustau,,
62054,foaf:Person,,,,Xavier Loyant,Xavier,Loyant,Xavier Loyant,,
61231,foaf:Person,,,,Shakir Luaybi,Shakir,Luaybi,Shakir Luaybi,,
61944,foaf:Person,,,,Jean-François Lucas,Jean-François,Lucas,Jean-François Lucas,,
61404,foaf:Person,,,,Jean-Louis Ludovic,Jean-Louis,Ludovic,Jean-Louis Ludovic,,
62129,foaf:Person,,30,,Raymond Lulle,Raymond,Lulle,Raymond Lulle,,
61713,foaf:Person,,,,Stéphane Lupasco,Stéphane,Lupasco,Stéphane Lupasco,,
61178,foaf:Person,,,,Francis (1849-1916). Traducteur Lützow,Francis (1849-1916). Traducteur,Lützow,Francis (1849-1916). Traducteur Lützow,,
62180,foaf:Person,,,,Lylia Alouache,Lylia,Alouache,Lylia Alouache,,
61455,foaf:Person,,60,,Jean-François Lyotard,Jean-François,Lyotard,Jean-François Lyotard,,
61028,foaf:Person,,,,Jaap Maat,Jaap,Maat,Jaap Maat,,
