o:id,dcterms:title,skos:prefLabel,skos:altLabel,jdc:hasActant,jdc:hasConcept,jdc:hasCrible,action
72952,system architecture,system architecture,,,,,
72956,universal access,universal access,,,,,
72960,mobile environment,mobile environment,,,,,
72964,personal libraries,personal libraries,,,,,
72968,"Dispositifs collaboratifs, Contribution, Patrimoine culturel, Redocumentarisation, Trivialité, Évaluation","Dispositifs collaboratifs, Contribution, Patrimoine culturel, Redocumentarisation, Trivialité, Évaluation",,,dispositifs collaboratifs ; contribution ; patrimoine culturel ; redocumentarisation ; trivialité ; évaluation ,,explode
72972,"Document,Document numérique","Document,Document numérique",,,document ; numérique,,explode
72976,post-modernité,post-modernité,,,,,
72983,Document numérique,Document numérique,,,document ; numérique,,explode
72987,modernité,modernité,,,,,
73012,interopérabilité,interopérabilité,,,,,
73019,norme,norme,,,,,
73041,e-science,e-science,,,,,
73060,"document, web socio-sémantique, points de vue, ontologie sémiotique, web 2.0, folksonomie, méthode, développement durable","document, web socio-sémantique, points de vue, ontologie sémiotique, web 2.0, folksonomie, méthode, développement durable",,,document ; web socio-sémantique ; points de vue ; ontologie sémiotique ; web 2.0 ; folksonomie ; méthode ; développement durable ,,explode
73064,Computers / Computer Science,Computers / Computer Science,,,ordinateurs ; informatique,,explode
73071,Computers / Information Technology,Computers / Information Technology,,,ordinateur ; technologie de l’information,,explode
73078,Social Science / General,Social Science / General,,,sciences sociales,,remplace
73082,Bibliographical citations,Bibliographical citations,,,,,supprime
73086,computer science,computer science,,,informatique,,remplace
73093,Bibliometrie,Bibliometrie,,,bibliométrie,,remplace
73097,sociology,sociology,,,sociologie,,remplace
73104,Citation of archival materials,Citation of archival materials,,,,,supprime
73108,Bibliometrics,Bibliometrics,,,bibliométrie,,remplace
73112,Electronic books,Electronic books,,,livre numérique,,remplace
73116,Citatie-indexen,Citatie-indexen,,,,,supprime
73120,Library science,Library science,,,bibliothéconomie,,remplace
73124,Economics,Economics,,,économie,,remplace
73128,Research,Research,,,recherche,,remplace
73132,Evaluation,Evaluation,,,évaluation,,remplace
73136,Statistics,Statistics,,,statistiques,,remplace
73140,Science Citation Index,Science Citation Index,,,,,supprime
73144,Web of Science,Web of Science,,,e-science,,supprime
73148,Business & Economics / Economics / General,Business & Economics / Economics / General,,,économie,,remplace
73152,Mathematics / Probability & Statistics / General,Mathematics / Probability & Statistics / General,,,mathématiques ; probabilités ; statistiques,,explode
73156,Computers / General,Computers / General,,,informatique,,remplace
73160,Reference / Research,Reference / Research,,,référence ; recherche,,explode
73164,Social Science / Sociology / General,Social Science / Sociology / General,,,sciences sociales ; sociologie,,explode
73168,Social Science / Statistics,Social Science / Statistics,,,sciences sociales ; statistiques,,explode
73172,Language Arts & Disciplines / Communication Studies,Language Arts & Disciplines / Communication Studies,,,communication ; arts,,explode
73176,immanence,immanence,,,,,
73195,vérité,vérité,,,,,
73238,harmonie,harmonie,,,,,
73248,résonnance,résonnance,,,résonance,,remplace
73252,Ontologie,Ontologie,,,ontologie,,remplace
73337,logique,logique,,,,,
73389,mathématique,mathématique,,,,,
73435,geste,geste,,,,,
73445,sens,sens,,,,,
73500,diagramme,diagramme,,,,,
73546,Deleuze,Deleuze,,Gilles Deleuze,,,
73571,science,science,,,,,
73614,distance,distance,,,,,
73618,écologie,écologie,,,,,
73667,Analyse,Analyse,,,analyse,,remplace
73683,jeux,jeux,,,,,
73705,gamma,gamma,,,,,
73709,tensorielle,tensorielle,,,,,
73713,des,des,,,,,supprime
73717,réseaux;théorie,réseaux;théorie,,,réseaux ; théorie,,explode
73721,matrices;modélisation,matrices;modélisation,,,matrices ; modélisation,,explode
73725,systèmes,systèmes,,,,,
73729,complexes,complexes,,,,,
73733,prefrontal cortex,prefrontal cortex,,,cortex préfontal,,remplace
73737,stereology,stereology,,,stéréologie,,remplace
73741,MRI,MRI,,,,,
73745,social network,social network,,,réseau social,,remplace
73749,Pédagogie -- Thèses et écrits académiques,Pédagogie -- Thèses et écrits académiques,,,pédagogie ; thèse,,explode
73753,Architecture -- Dessins et plans -- Thèses et écrits académiques,Architecture -- Dessins et plans -- Thèses et écrits académiques,,,architecture ; dessins ; plans ; thèse,,explode
73757,Travaux manuels -- Thèses et écrits académiques,Travaux manuels -- Thèses et écrits académiques,,,travaux manuels ; thèse,,explode
73761,Environnement numérique de travail -- Thèses et écrits académiques,Environnement numérique de travail -- Thèses et écrits académiques,,,ENT ; thèse,,explode
73765,Entretiens -- Thèses et écrits académiques,Entretiens -- Thèses et écrits académiques,,,entretiens ; thèse,,explode
73769,"ontologie, indexation, modèle procédural, poésie numérique, médias instables","ontologie, indexation, modèle procédural, poésie numérique, médias instables",,,ontologie ; indexation ; modèle procédural ; poésie numérique ; médias instables,,explode
73773,noosphère,noosphère,,,,,
73816,visual data exploration,visual data exploration,,,dataviz,,remplace
73820,Information visualization,Information visualization,,,dataviz,,remplace
73824,visual data mining,visual data mining,,,dataviz,,remplace
73828,classification.,classification.,,,classification,,remplace
73832,Conscience,Conscience,,,conscience,,remplace
73839,Sciences cognitives,Sciences cognitives,,,sciences cognitives,,remplace
73846,Visual perception,Visual perception,,,perception visuelle,,remplace
73850,Métaphore,Métaphore,,,métaphore,,remplace
73854,perception visuelle,perception visuelle,,,,,
73861,Conscience réflexive,Conscience réflexive,,,conscience réflexive,,remplace
73865,Jaynes theory,Jaynes theory,,Julien Jaynes,théorie,,remplace
73869,Relation spatiale,Relation spatiale,,,relation ; espace,,explode
73873,Cognitive science,Cognitive science,,,sciences cognitive,,remplace
73877,Représentation spatiale,Représentation spatiale,,,représentation ; espace,,explode
73881,Theorie Jaynes,Theorie Jaynes,,Julien Jaynes,théorie,,remplace
73885,Relación,Relación,,,relation,,remplace
73889,Representación espacial,Representación espacial,,,représentation ; spatiale,,explode
73893,Ciencias cognitivas,Ciencias cognitivas,,,sciences cognitives,,remplace
73897,Conciencia,Conciencia,,,conscience,,remplace
73901,Percepción visual,Percepción visual,,,perception visuelle,,remplace
73905,Metaphor,Metaphor,,,métaphore,,remplace
73909,Reflexive consciousness,Reflexive consciousness,,,conscience réflexive,,remplace
73913,Spatial relation,Spatial relation,,,relation ; espace,,explode
73917,Relation,Relation,,,,,
73921,Spatial representation,Spatial representation,,,représentation ; spatiale,,explode
73925,Consciousness,Consciousness,,,conscience,,remplace
73929,cognition,cognition,,,,,
73951,symbolique,symbolique,,,,,
74048,percept,percept,,,,,
74052,solution,solution,,,,,
74059,calcul,calcul,,,,,
74078,statique,statique,,,,,
74082,Web,Web,,,,,
74125,légère,légère,,,,,
74129,dense,dense,,,,,
74133,verbalisation,verbalisation,,,,,
74137,théorie des graphes,théorie des graphes,,,,,
74144,"Social tagging, Folksonomies, Ontologies, Thesauri, Web Social, Web Sémantique","Social tagging, Folksonomies, Ontologies, Thesauri, Web Social, Web Sémantique",,,social tagging ; folksonomies ; ontologie ; thesaurus ; Web social ; Web sémantique,,explode
74148,Information;donn\'ees;signifiance;diaphorie;diff\'erence;pattern;aspect;vue;regard;liction;reliance,Information;donn\'ees;signifiance;diaphorie;diff\'erence;pattern;aspect;vue;regard;liction;reliance,,,information ; données ; signifiance ; diaphorie ; différence ; pattern ; aspect ; vue ; regard ; liction ; reliance,,explode
74152,Information;,Information;,,,information,,remplace
74156,faire-sens;,faire-sens;,,,faire sens,,remplace
74160,signifiance;,signifiance;,,,signifiance,,remplace
74164,données;,données;,,,données,,remplace
74168,interprétation.,interprétation.,,,interprétation,,remplace
74172,Charles S. Peirce,Charles S. Peirce,,Charles S. Peirce,,,remplace
77743,Spinoza,Spinoza,,Spinoza,,,remplace
77801,Descola,Descola,,Philippe Descola,,,remplace
77814,rdf,rdf,,,RDF,,remplace
77821,triplet,triplet,,,,,
77831,mémétique,mémétique,,,,,
77835,pouvoir d'agir,pouvoir d'agir,,,pouvoir ; agir,,explode
77860,mort,mort,,,,,
77879,// spino-deleuze,// spino-deleuze,,Spinoza ; Gilles Deleuze,,,explode
77883,fin vs cycle,fin vs cycle,,,,,
77887,vivant,vivant,,,,,
77903,enveloppe,enveloppe,,,,,
77907,symbole,symbole,,,,,
78061,universel,universel,,,,,
78110,concret,concret,,,,,
78117,immortalité,immortalité,,,,,
78124,apprentissage,apprentissage,,,,,
78170,intelligent,intelligent,,,,,
78174,systémique,systémique,,,,,
78181,anthropocentrisme,anthropocentrisme,,,,,
78185,e-gouv,e-gouv,,,,,
78195,21/06/1966,21/06/1966,,,,,
78199,chaos,chaos,,,,,
78272,forme,forme,,,,,
78324,cybernétique,cybernétique,,,,,
78337,physique,physique,,,,,
78353,Zénon,Zénon,,Zénon,,,remplace
78357,cartographie,cartographie,,,,,
78406,connerie,connerie,,,,,
78422,gordien,gordien,,,,,
78438,noeud,noeud,,,,,
78454,cycle,cycle,,,,,
78458,créativité,créativité,,,,,
78468,inquiétude,inquiétude,,,,,
78481,double contrainte,double contrainte,,,,,
78497,//,//,,,,,supprime
78501,erreur,erreur,,,,,
78520,boucles,boucles,,,,,
78524,différence,différence,,,,,
